difficulty,past_score,days_left,recommended_hours
1,95,90,0.6
1,88,60,0.8
1,80,30,1.0
1,70,14,1.3
1,55,7,1.8
2,92,80,0.9
2,84,55,1.1
2,76,28,1.4
2,63,14,1.8
2,48,7,2.3
3,90,75,1.2
3,82,45,1.5
3,70,25,1.9
3,58,12,2.4
3,42,6,3.0
4,86,65,1.7
4,74,40,2.0
4,62,20,2.6
4,50,10,3.2
4,35,5,4.0
5,84,60,2.1
5,72,35,2.5
5,60,18,3.2
5,45,9,4.0
5,28,4,5.0
1,98,20,0.8
2,91,18,1.2
3,83,16,1.8
4,75,14,2.4
5,68,12,3.0
1,62,45,1.1
2,57,35,1.6
3,52,25,2.2
4,47,15,3.0
5,40,8,4.2
1,45,60,1.4
2,43,50,1.9
3,38,35,2.6
4,33,20,3.6
5,30,10,4.7
2,70,5,2.5
3,65,5,3.0
4,60,5,3.6
5,55,5,4.3
1,90,3,1.4
2,80,3,2.1
3,70,3,2.9
4,60,3,3.8
5,50,3,4.8
1,35,15,2.0
2,35,15,2.5
3,35,15,3.1
4,35,15,3.8
5,35,15,4.5
3,95,10,1.5
4,90,10,2.0
5,85,10,2.6
2,25,25,2.4
3,25,25,3.1
4,25,25,3.9
5,25,25,4.8
